ORDEM;CAMPO;BLOCO;BLOCO_DESCRICAO;TIPO;OBRIGATORIO;DOMINIO;ORIGEM_DADO;ESTABILIDADE;DESCRICAO
0001;IMOVEL_ID;IDENT;Identificação — chaves e proveniência;texto;condicional;IMV-<9 dig>;RCC:store de resolucao de entidade sobre enderecos IBGE;PERSISTENTE;Imóvel físico. Único id que sobrevive a mudança de nome de rua e casa fontes sem chave comum. Vem do store append-only da resolução de entidade. Vazio enquanto a resolução não rodar.
0002;COLETIVA_ID;IDENT;Identificação — chaves e proveniência;texto;condicional;COL-<mun 7>-<seq 6>;RCC:surrogate da chave canonica;ESTAVEL_POR_SAFRA;"Grupo coletivo. Surrogate legível emitido por store; ordenável e citável em campo. VAZIO quando o registro não tem identidade de endereço (número ausente): a unidade existe, o agrupamento não."
0003;COLETIVA_CHAVE_HASH;IDENT;Identificação — chaves e proveniência;texto;condicional;inteiro 19 díg (texto);DERIVADO:blake2b(COLETIVA_CHAVE_CANONICA);DETERMINISTICO;"Hash BLAKE2b(8)>>1 da CHAVE CANÔNICA publicada ao lado. Reproduzível por terceiros sem acesso ao pipeline; é a prova de que COLETIVA_ID aponta para o endereço que diz."
0004;COLETIVA_CHAVE_CANONICA;IDENT;Identificação — chaves e proveniência;texto;condicional;<mun 7>|<TIPO TITULO NOME>|N<numero>|<localidade>;DERIVADO:COD_MUNICIPIO+NOM_TIPO_SEGLOGR+NOM_SEGLOGR_HARM+NUM_ENDERECO+DSC_LOCALIDADE canonizados;DETERMINISTICO;A PRÉ-IMAGEM do hash, publicada. Sem ela o id não seria reproduzível por terceiros, porque a canônica usa o nome HARMONIZADO e o numeral expandido. Desde a CANON_VERSAO 3 leva TIPO + TÍTULO + NOME: sem o título, RUA BARÃO DO GRAVATAÍ e RUA BARONESA DO GRAVATAÍ — duas ruas de Porto Alegre — recebiam o MESMO identificador. Identificador cuja pré-imagem não viaja com o dado é opaco, não determinístico.
0005;BLOCO_ID;IDENT;Identificação — chaves e proveniência;texto;condicional;<COLETIVA_ID>-B<valor>;DERIVADO:COLETIVA_ID + bloco de NOM_COMP_ELEM/VAL_COMP_ELEM;ESTAVEL_POR_SAFRA;Bloco/torre dentro da coletiva. Vazio quando a coletiva não tem subdivisão por bloco.
0006;UNIDADE_ID;IDENT;Identificação — chaves e proveniência;texto;sim;<BLOCO_ID|COLETIVA_ID>-<TIPO 3>-<valor 4>;DERIVADO:BLOCO_ID + unidade de NOM_COMP_ELEM/VAL_COMP_ELEM;ESTAVEL_POR_SAFRA;Unidade/economia. GRÃO DA TABELA: uma linha, um UNIDADE_ID por sistema de origem. Composto e legível: COL-4300604-000123-B-APT-0203.
0007;ORIGEM_SISTEMA;IDENT;Identificação — chaves e proveniência;texto;sim;IBGE | CADASTRO;RCC:constante por fonte de entrada;n/a;"Sistema que produziu a linha. IBGE é a fonte dos dados TRATADOS; CADASTRO entra só como confronto. Duas linhas com o mesmo UNIDADE_ID e ORIGEM_SISTEMA distinto são a MESMA unidade vista pelos dois lados."
0008;ORIGEM_REGISTRO_ID;IDENT;Identificação — chaves e proveniência;texto;sim;livre (cru da fonte);IBGE:COD_UNICO_ENDERECO;n/a;Id do registro no sistema de origem, preservado sem renomear. É o caminho de volta ao artefato que gerou a linha.
0009;ORIGEM_GRUPO_ID;IDENT;Identificação — chaves e proveniência;texto;condicional;livre (cru da fonte);DERIVADO:id de agrupamento do motor de origem;n/a;Id do agrupamento no sistema de origem (RADAR_ID_BLOCO, COD_COLETIVA, CLUSTER_ID). Preservado cru — nunca decisório, sempre rastreável.
0010;ORIGEM_LIGACAO;IDENT;Identificação — chaves e proveniência;texto;condicional;matrícula da concessionária;CADASTRO:matricula;n/a;"Matrícula quando existir. Chave de junção histórica entre as skills; aqui é atributo, não identidade."
